Player,Team,Player_Strength,Total_Rounds_Played
Anima,Eternal Fire,80.55,4304.0
7ssk7,KPI Gaming,80.54,8458.0
deLb,All Gamers,80.53,5450.0
6ixKey,RRQ Academy,80.52,1163.0
Lok1,Unknown Killers E-sport,80.5,152.0
Noia,Shopify Rebellion Gold,80.49,11189.0
david,ShindeN,80.47,4756.0
isaa,Team Liquid Brazil,80.47,9983.0
Hyuse,Fancy United Esports,80.45,878.0
karam1l,DUPG Esports,80.45,3641.0
PRX something,INHS Yining,80.43,53.0
Darker,E-Xolos LAZER,80.4,3191.0
KeA,Unicorn Cyber Da Nang,80.4,5110.0
Leozin,PR0NETS,80.39,3955.0
Ale,Lilmix,80.39,8034.0
Feniz,E-Xolos LAZER,80.38,4961.0
EvoLuZionz,ENFASIS,80.37,979.0
EscO,esports team αD,80.36,1076.0
Excali,MiBH,80.35,14147.0
twelve,Rival Esports,80.34,618.0
Pure,101 Outlaws,80.34,683.0
turkish,SAGAZ,80.31,3341.0
Javiierh,Chivas Esports,80.3,1940.0
CXIX666,The MongolZ,80.29,1363.0
dip,SaD Esports,80.28,19911.0
geeza,Maryville University,80.26,13554.0
jakee,YFP,80.25,15144.0
Gunners,děti ulice,80.24,4092.0
Kazler,Refrag,80.22,6908.0
Jremy,Team Secret,80.22,4346.0
mclovin,Cumberland Phoenix,80.22,2254.0
vakk,BBL Esports,80.21,9788.0
d1srupt,Unicorn Cyber Da Nang,80.2,5807.0
ting2k5,Team Flash,80.17,4634.0
AtaKaptan,FUT Esports,80.17,7474.0
insano,PEEK,80.16,1510.0
zaj,YDZ Esports,80.16,6763.0
Benjamizz,USM Esports,80.15,132.0
妳知道雞米花的花語是什麼嗎,TWA,80.14,155.0
Kevzii,ZOL Esports,80.13,5905.0
MCD,GoodFor3,80.12,2764.0
FireBallOps,Nightblood Gaming,80.09,17151.0
Nanners,Burger Boyz,80.07,25332.0
duhT,Agropesca Jacare,80.06,5973.0
Aeric,Aspyre x Swarm,80.04,7955.0
winderz,Fractal Gaming,80.03,1752.0
wedid,Turtle Troop,79.99,13119.0
Tim,Funhavers,79.99,16450.0
calsushi,Teddy Tactics,79.98,3912.0
Kheops,Axolotl,79.98,8205.0
baddyG,DNSTY,79.94,7414.0
archiw0w,Genziary,79.94,4401.0
